TreeID,TreePosX,TreePosY,TreePosZ,TreeHeight(metre),DBH(metre),CrownDiameter(metre),CrownDiameter(S-N)(metre),CrownDiameter(E-W)(metre),CrownArea(square metre),CrownVolume(cubic metre),OldID
4467,231112.619,454469.001,0.867,19.5,0.480,7.9,7.4,9.5,49.3,367.2,21687
4468,231073.343,454427.309,0.852,24.5,0.468,5.5,4.7,6.5,23.5,193.4,21717
4469,231131.402,454516.994,0.868,24.6,0.478,6.0,5.4,7.4,28.6,197.3,22483
4470,231143.477,454383.468,0.842,8.5,0.632,2.1,2.3,2.4,3.4,9.9,22097
4471,231072.900,454444.243,0.894,10.7,0.211,3.7,4.2,3.5,10.8,39.4,21877
4472,231117.791,454524.583,0.838,23.0,0.474,6.9,6.4,8.0,37.6,283.1,22409
4473,231135.020,454517.104,0.861,23.1,0.480,6.1,5.4,7.4,29.4,160.5,22485
4474,231091.016,454441.721,0.845,16.3,0.261,4.6,5.2,4.3,16.7,111.4,21831
4475,231132.169,454414.600,0.850,18.0,0.428,8.3,8.1,9.3,54.2,425.3,22123
4476,231050.473,454555.237,0.861,24.7,0.605,9.2,8.6,10.6,66.6,533.3,22284
4477,231070.759,454473.651,0.873,23.6,0.555,9.3,8.5,11.8,68.3,560.2,21703
4478,231117.674,454445.795,0.860,24.1,0.487,8.5,10.2,7.4,56.2,310.7,21745
4479,231088.944,454577.176,0.859,13.5,0.295,5.0,4.4,5.8,19.3,104.4,22489
4480,231115.407,454421.869,0.868,23.4,0.456,7.1,7.0,7.7,39.7,268.1,22176
4481,231078.520,454402.506,0.832,8.9,0.203,3.1,3.2,3.4,7.7,34.2,21893
4482,231082.345,454579.265,0.840,20.3,0.466,6.2,5.8,6.4,29.8,218.9,22427
4483,231048.195,454540.213,0.851,17.4,0.310,5.7,5.5,6.3,25.6,135.7,22499
4484,231101.735,454398.659,0.858,27.0,0.743,9.8,9.2,10.1,76.1,809.1,22102
4485,231132.310,454470.594,0.649,8.2,0.217,4.7,5.8,5.0,17.2,50.8,22225
4486,231082.470,454573.053,0.843,23.1,0.660,10.0,9.9,10.8,77.9,482.2,22329
4487,231067.926,454432.999,0.858,26.3,0.426,8.3,6.7,10.1,53.7,279.6,21732
